Arquivo,Data,Hora,Vel_Regulamentada (Km/h),Vel_Medida (Km/h),Vel_Considerada (Km/h),Erro
214550\420341_11.jpg,19/08/9025,10H47MIN38S,20,40,,
214551\420343_11.jpg,18/08/2025,10H47MIN41S,20,40,,
214552\420345_11.jpg,18/08/2025,10H47,20,40,,
214553\420347_11.jpg,18/08/2025,1,20,4,,Resultado parcial
214554\420349_11.jpg,18/08/2025,10H47MIN49S,20,40,,
214555\420351_11.jpg,18/08/2025,10H47MIN,20,40,,
214556\420353_11.jpg,18/08/2025,10H47MIN,20,40,,
214557\420355_11.jpg,18/08/2025,10H47MIN5,20,40,,
214558\420357_11.jpg,18/08/2025,10H48MIN00S,20,40,,
214559\420359_11.jpg,18/08/2025,10H48MIN03S,20,40,,
214560\420361_11.jpg,18/08/2025,10H48MIN06S,20,40,,
214561\420363_11.jpg,18/08/2025,10H48MIN08S,20,40,,
214562\420365_11.jpg,18/08/2025,10H48MIN1IS,20,40,,
214563\420367_11.jpg,18/08/2025,10H48MIN14S,20,40,,
214564\420369_11.jpg,18/08/2025,10H48MIN16S,20,40,,
214565\420371_11.jpg,18/08/2025,10H48MIN19S,20,40,,
214566\420373_11.jpg,18/08/2025,10H48MIN22S,20,40,,
214567\420375_11.jpg,18/08/2025,10H48MIN2,20,40,,
214568\420377_11.jpg,18/08/2025,10H48MIN27S,20,40,,
214569\420379_11.jpg,18/08/2025,10H48MIN30S1,20,40,,
214570\420381_11.jpg,18/08/2025,10H48MIN33S,20,40,,
214571\420383_11.jpg,18/08/2025,10H48MIN36S,20,40,,
214572\420385_11.jpg,18/08/2025,10H48MIN38S,20,40,,
214573\420387_11.jpg,18/08/2025,10H48MIN41S,20,40,,
214574\420389_11.jpg,18/08/2025,10H48MIN44S,20,40,,
214575\420391_11.jpg,18/08/2025,10H48MIN47S,20,40,,
214576\420393_11.jpg,18/08/2025,10H48MIN49S,20,40,,
214577\420395_11.jpg,18/08/2025,10H48MIN52S,20,40,,
214578\420397_11.jpg,18/08/2025,10H48MIN,20,40,,
214579\420399_11.jpg,18/08/2025,10H48MIN,20,40,,
214580\420401_11.jpg,18/08/,10H49MIN00S,20,40,,
214581\420403_11.jpg,18/08/2025,10H49MIN03S,20,40,,
214582\420405_11.jpg,18/08/2025,10H49MIN06S,20,40,,
214583\420407_11.jpg,18/08/2025,10H49MIN08S,20,40,,
214584\420409_11.jpg,18/08/2025,10H49MIN,20,40,,
214585\420411_11.jpg,18/08/2025,10H49MIN14S,20,40,,
214586\420413_11.jpg,18/08/2025,10H49MIN17S,20,40,,
214587\420415_11.jpg,18/08/2025,10H49MIN19S,20,40,,
214588\420417_11.jpg,18/08/2025,10H49MIN22S,20,40,,
214589\420419_11.jpg,18/08/2025,10H49MIN2,20,40,,
214590\420421_11.jpg,18/08/2025,10H49MIN28S,20,40,,
214591\420423_11.jpg,18/08/2025,10H49MIN30S,20,40,,
214592\420425_11.jpg,18/08/2025,10H49MIN33S,20,40,,
214593\420427_11.jpg,18/08/2025,10H49MIN36S,20,40,,
214594\420429_11.jpg,18/08/2025,10H49MIN38S,20,40,,
214595\420431_11.jpg,18/08/2025,10H49MIN41SM,20,40,,
214596\420433_11.jpg,18/08/2025,10H49MIN44S,20,40,,
214597\420435_11.jpg,18/08/2025,10H49MIN47S,20,40,,
214598\420437_11.jpg,18/08/2025,10H49MIN49S,20,40,,
214599\420439_11.jpg,18/08/2025,10H49MIN,20,40,,
214600\420441_11.jpg,18/08/2025,10H49MIN,20,40,,
214601\420443_11.jpg,18/08/2025,10H49MIN,20,40,,
214602\420445_11.jpg,18/08/2025,10H50MIN00S,20,40,,
